iter	Passed	Remaining
0	1	111
1	2	103
2	3	99
3	3	94
4	4	93
5	6	94
6	7	94
7	8	93
8	9	93
9	10	94
10	11	94
11	12	93
12	13	91
13	14	90
14	15	89
15	16	88
16	17	87
17	19	87
18	20	86
19	21	85
20	22	83
21	23	82
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	71
34	37	70
35	38	69
36	40	68
37	40	66
38	41	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
